# WAVELENGTH    FLUX        
  2192.520996   3.8819E-13  
  2193.894775   3.9125E-13  
  2195.268311   4.1909E-13  
  2196.64209    4.2927E-13  
  2198.015625   4.1526E-13  
  2199.389404   4.2277E-13  
  2200.763184   4.2465E-13  
  2202.136719   3.9556E-13  
  2203.510498   4.0961E-13  
  2204.884277   4.2926E-13  
  2206.257812   4.1563E-13  
  2207.631592   3.9657E-13  
  2209.005371   3.7607E-13  
  2210.378906   3.6075E-13  
  2211.752686   3.3508E-13  
  2213.126465   3.1799E-13  
  2214.5        3.7594E-13  
  2215.873779   3.7509E-13  
  2217.247559   3.7726E-13  
  2218.621338   3.4947E-13  
  2219.994873   3.7417E-13  
  2221.368652   4.0114E-13  
  2222.742432   4.0373E-13  
  2224.116211   4.0864E-13  
  2225.489746   4.032E-13   
  2226.863525   4.081E-13   
  2228.237305   4.0564E-13  
  2229.611084   4.0786E-13  
  2230.984863   4.2266E-13  
  2232.358398   4.2811E-13  
  2233.732178   4.362E-13   
  2235.105957   4.4302E-13  
  2236.479736   4.4877E-13  
  2237.853516   4.5306E-13  
  2239.227295   4.5544E-13  
  2240.60083    4.5674E-13  
  2241.974609   4.4395E-13  
  2243.348389   4.2741E-13  
  2244.722168   4.1329E-13  
  2246.095947   4.0047E-13  
  2247.469727   4.1761E-13  
  2248.843506   4.1924E-13  
  2250.217285   4.0409E-13  
  2251.59082    3.8665E-13  
  2252.9646     3.9295E-13  
  2254.338379   4.007E-13   
  2255.712158   3.7057E-13  
  2257.085938   3.8053E-13  
  2258.459717   3.9436E-13  
  2259.833496   4.0657E-13  
  2261.207275   3.8657E-13  
  2262.581055   3.8102E-13  
  2263.954834   4.1102E-13  
  2265.328613   3.9257E-13  
  2266.702393   3.8022E-13  
  2268.076172   3.729E-13   
  2269.449951   3.746E-13   
  2270.82373    3.8422E-13  
  2272.19751    4.0417E-13  
  2273.571289   3.9745E-13  
  2274.945068   4.1352E-13  
  2276.318848   4.0483E-13  
  2277.692627   3.9316E-13  
  2279.066406   4.13E-13    
  2280.440186   4.1889E-13  
  2281.813965   4.2191E-13  
  2283.187744   4.6271E-13  
  2284.561523   4.3901E-13  
  2285.935303   4.3371E-13  
  2287.309082   4.4393E-13  
  2288.682861   4.1007E-13  
  2290.056641   4.2091E-13  
  2291.43042    4.1739E-13  
  2292.804199   4.1782E-13  
  2294.177979   4.2438E-13  
  2295.551758   4.2121E-13  
  2296.925537   4.2625E-13  
  2298.299316   3.7981E-13  
  2299.673096   3.6189E-13  
  2301.046875   3.8518E-13  
  2302.420654   3.992E-13   
  2303.794434   4.187E-13   
  2305.168213   4.0102E-13  
  2306.541992   4.4239E-13  
  2307.915771   4.5142E-13  
  2309.289551   4.4044E-13  
  2310.66333    4.4789E-13  
  2312.037109   4.3313E-13  
  2313.410889   4.0081E-13  
  2314.784668   3.9157E-13  
  2316.158447   4.1996E-13  
  2317.532227   4.3504E-13  
  2318.906006   4.454E-13   
  2320.279785   4.2935E-13  
  2321.653564   4.2613E-13  
  2323.027344   4.332E-13   
  2324.401123   4.5628E-13  
  2325.774902   4.5925E-13  
  2327.148682   4.1831E-13  
