# WAVELENGTH    FLUX         
  2089.336914   1.6286E-14   
  2090.710449   1.5986E-14   
  2092.083984   1.4902E-14   
  2093.45752    1.7025E-14   
  2094.831055   1.7107E-14   
  2096.20459    1.8481E-14   
  2097.577881   1.9031E-14   
  2098.951416   2.0243E-14   
  2100.324951   1.8231E-14   
  2101.698486   2.1343E-14   
  2103.072021   2.0729E-14   
  2104.445557   2.0194E-14   
  2105.819092   2.4781E-14   
  2107.192627   2.2163E-14   
  2108.566162   2.1893E-14   
  2109.939697   2.0057E-14   
  2111.313477   2.4656E-14   
  2112.687012   2.5407E-14   
  2114.060547   2.3062E-14   
  2115.434082   2.2985E-14   
  2116.807617   2.6872E-14   
  2118.181152   2.8852E-14   
  2119.554688   2.9028E-14   
  2120.928467   3.0061E-14   
  2122.302002   2.4688E-14   
  2123.675537   2.0445E-14   
  2125.049072   1.8707E-14   
  2126.422852   2.148E-14    
  2127.796387   2.3709E-14   
  2129.169922   2.7048E-14   
  2130.543701   2.1897E-14   
  2131.917236   2.2747E-14   
  2133.290771   2.259E-14    
  2134.664551   2.2823E-14   
  2136.038086   2.3365E-14   
  2137.411865   2.5239E-14   
  2138.7854     2.3592E-14   
  2140.15918    2.4126E-14   
  2141.532715   3.0585E-14   
  2142.906494   3.1848E-14   
  2144.280029   3.1374E-14   
  2145.653809   2.8456E-14   
  2147.027344   2.6586E-14   
  2148.401123   2.6895E-14   
  2149.774658   2.9443E-14   
  2151.148438   2.8398E-14   
  2152.521973   2.8857E-14   
  2153.895752   2.996E-14    
  2155.269531   2.7346E-14   
  2156.643066   2.3683E-14   
  2158.016846   2.0773E-14   
  2159.390625   2.1439E-14   
  2160.76416    2.6292E-14   
  2162.137939   2.8576E-14   
  2163.511719   2.7457E-14   
  2164.885498   2.5821E-14   
  2166.259033   2.3185E-14   
  2167.632812   2.1049E-14   
  2169.006592   2.3513E-14   
  2170.380371   2.4698E-14   
  2171.753906   2.592E-14    
  2173.127686   2.6864E-14   
  2174.501465   2.3209E-14   
  2175.875244   2.3896E-14   
  2177.249023   2.4272E-14   
  2178.622803   2.4888E-14   
  2179.996582   3.1569E-14   
  2181.370117   3.4237E-14   
  2182.743896   3.5794E-14   
  2184.117676   3.1562E-14   
  2185.491455   3.2257E-14   
  2186.865234   2.919E-14    
  2188.239014   2.73E-14     
  2189.612793   2.9003E-14   
  2190.986572   3.2161E-14   
  2192.360352   3.1884E-14   
  2193.734131   3.7733E-14   
  2195.10791    3.3515E-14   
  2196.481689   3.0041E-14   
  2197.855469   3.3809E-14   
  2199.229248   3.4936E-14   
  2200.603027   3.2803E-14   
  2201.976807   3.4122E-14   
  2203.350586   3.9708E-14   
  2204.724365   3.9641E-14   
  2206.098145   3.7241E-14   
  2207.471924   3.3808E-14   
  2208.845947   2.8855E-14   
  2210.219727   2.7E-14      
  2211.593506   2.336E-14    
  2212.967285   2.8915E-14   
  2214.341064   3.2452E-14   
  2215.714844   3.1738E-14   
  2217.088623   2.811E-14    
  2218.462646   2.8557E-14   
  2219.836426   3.4909E-14   
  2221.210205   3.7524E-14   
  2222.583984   3.6847E-14   
  2223.957764   3.4895E-14   
  2225.331787   3.6802E-14   
  2226.705566   3.5412E-14   
  2228.079346   3.4492E-14   
  2229.453125   3.7072E-14   
  2230.827148   3.5915E-14   
  2232.200928   3.9022E-14   
  2233.574707   4.8382E-14   
  2234.948486   4.9433E-14   
  2236.32251    4.9961E-14   
  2237.696289   4.5484E-14   
  2239.070068   4.2765E-14   
