# WAVELENGTH    FLUX        
  2075.066162   4.4604E-14  
  2076.439697   4.6647E-14  
  2077.812988   4.7233E-14  
  2079.186279   4.5671E-14  
  2080.55957    4.7539E-14  
  2081.933105   4.9237E-14  
  2083.306396   4.6772E-14  
  2084.679688   4.7111E-14  
  2086.053223   4.8181E-14  
  2087.426514   4.9387E-14  
  2088.799805   4.7984E-14  
  2090.17334    4.9579E-14  
  2091.546631   4.9543E-14  
  2092.920166   4.9265E-14  
  2094.293457   4.9836E-14  
  2095.666992   5.1805E-14  
  2097.040283   5.3448E-14  
  2098.413818   5.2567E-14  
  2099.787109   5.367E-14   
  2101.160645   5.2187E-14  
  2102.53418    5.3155E-14  
  2103.907471   5.1774E-14  
  2105.281006   5.4429E-14  
  2106.654297   5.1935E-14  
  2108.027832   4.9485E-14  
  2109.401367   5.0836E-14  
  2110.774658   5.2072E-14  
  2112.148193   5.1158E-14  
  2113.521729   5.1963E-14  
  2114.895264   5.2622E-14  
  2116.268799   5.6678E-14  
  2117.64209    5.619E-14   
  2119.015625   5.9318E-14  
  2120.38916    5.8423E-14  
  2121.762695   5.7358E-14  
  2123.13623    5.1957E-14  
  2124.509766   4.7688E-14  
  2125.883301   5.2921E-14  
  2127.256836   5.6453E-14  
  2128.630127   5.653E-14   
  2130.003662   5.6779E-14  
  2131.377197   5.3547E-14  
  2132.750732   5.2878E-14  
  2134.124268   5.2267E-14  
  2135.497803   5.3412E-14  
  2136.871582   5.7137E-14  
  2138.245117   5.7313E-14  
  2139.618652   5.6167E-14  
  2140.992188   6.1365E-14  
  2142.365723   6.1878E-14  
  2143.739258   6.3042E-14  
  2145.112793   6.1859E-14  
  2146.486328   6.0558E-14  
  2147.860107   6.0074E-14  
  2149.233643   6.1514E-14  
  2150.607178   6.0512E-14  
  2151.980713   6.0535E-14  
  2153.354248   6.372E-14   
  2154.728027   6.1595E-14  
  2156.101562   6.4216E-14  
  2157.475098   6.1114E-14  
  2158.848633   5.7692E-14  
  2160.222412   6.0611E-14  
  2161.595947   6.2556E-14  
  2162.969482   6.6484E-14  
  2164.343262   6.3422E-14  
  2165.716797   6.2653E-14  
  2167.090576   6.2243E-14  
  2168.464111   6.4379E-14  
  2169.837646   6.7468E-14  
  2171.211426   6.8204E-14  
  2172.584961   6.6885E-14  
  2173.95874    6.4364E-14  
  2175.332275   6.4899E-14  
  2176.706055   6.7464E-14  
  2178.07959    6.946E-14   
  2179.453369   7.1319E-14  
  2180.826904   7.401E-14   
  2182.200684   7.709E-14   
  2183.574219   7.5966E-14  
  2184.947998   7.5143E-14  
